song_link,song_id,track_name,artist_name,album_image_url
https://open.spotify.com/track/5oIVNm56t6OIf9ZjdEG3ud?si=99a6bf77f4514ad8,5oIVNm56t6OIf9ZjdEG3ud,Coincidence,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv?si=42764ade725e47e7,0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
https://open.spotify.com/track/7ByxizhA4GgEf7Sxomxhze?si=8f51e1637a504afe,7ByxizhA4GgEf7Sxomxhze,All My Love,Noah Kahan,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
https://open.spotify.com/track/1dHtMSJ1Ozg2Ja6GX4McAO?si=a7c88619ba4d4237,1dHtMSJ1Ozg2Ja6GX4McAO,Paul Revere,Noah Kahan,https://i.scdn.co/image/ab67616d0000b27365a472d8326d4571bf725422
https://open.spotify.com/track/1YFuNxZebaNgNSYK5LpgeC?si=e4bfbe46a83e4b81,1YFuNxZebaNgNSYK5LpgeC,I Can Change Him,Jensen McRae,https://i.scdn.co/image/ab67616d0000b27397c3583721260e454a20a470
https://open.spotify.com/track/2s9IhFGEz630MbgoEmdvrg?si=42daf0cc3e584212,2s9IhFGEz630MbgoEmdvrg,Novelty,Jensen McRae,https://i.scdn.co/image/ab67616d0000b27397c3583721260e454a20a470
https://open.spotify.com/track/2RMtMVvGaQMW4sVfnb4bHy?si=d4f1f9d9aac44239,2RMtMVvGaQMW4sVfnb4bHy,Mother Wound,Jensen McRae,https://i.scdn.co/image/ab67616d0000b27397c3583721260e454a20a470
https://open.spotify.com/track/4GIRtMKQ8h4OyLugNbz1JX?si=ad5ac86c35174352,4GIRtMKQ8h4OyLugNbz1JX,Massachusetts,Jensen McRae,https://i.scdn.co/image/ab67616d0000b27397c3583721260e454a20a470
https://open.spotify.com/track/6QZAJJdg5X0AenfwAWZzjS?si=da761c2b4a0b49b3,6QZAJJdg5X0AenfwAWZzjS,Wolves,Jensen McRae,https://i.scdn.co/image/ab67616d0000b273b1cf2470a32927df0619baf8
https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4?si=7658b20231964078,6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43
https://open.spotify.com/track/5UXJzLFdBn6u9FJTCnoHrH?si=ba9fea57940e4847,5UXJzLFdBn6u9FJTCnoHrH,Memories,Conan Gray,https://i.scdn.co/image/ab67616d0000b27360a89b781c62ffe2136e4396
https://open.spotify.com/track/3iPES3R1oHZjSu8CnG8kG2?si=83e4ce9a93ca467c,3iPES3R1oHZjSu8CnG8kG2,After Midnight,Chappell Roan,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f
https://open.spotify.com/track/3KfbEIOC7YIv90FIfNSZpo?si=caf0e371512b4da4,3KfbEIOC7YIv90FIfNSZpo,In My Life - Remastered 2009,The Beatles,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
https://open.spotify.com/track/2N5zMZX7YeL1tico8oQxa9?si=201210eb92004037,2N5zMZX7YeL1tico8oQxa9,Crazy,Gnarls Barkley,https://i.scdn.co/image/ab67616d0000b27361a13426a99fd3500e2fff54
https://open.spotify.com/track/3wfujdbamR3Z46F4xav7LM?si=2c6bf07d32c24753,3wfujdbamR3Z46F4xav7LM,Drive,The Cars,https://i.scdn.co/image/ab67616d0000b273473881855ae3ceadb949a625
https://open.spotify.com/track/1H4idkmruFoJBg1DvUv2tY?si=9438e3d19bb7406a,1H4idkmruFoJBg1DvUv2tY,Band On The Run - 2010 Remaster,Paul McCartney,https://i.scdn.co/image/ab67616d0000b273be7a3a1e2d663eea2918e5a3
https://open.spotify.com/track/0BgbobvykXxEvxo2HhCuvM,,,,
https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W?si=7312ca78187b4b53,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902
https://open.spotify.com/track/1ZqFKsQz5NAZBumTyVI3HI?si=b4022304f9c24cb3,1ZqFKsQz5NAZBumTyVI3HI,Beat the Devil,Maren Morris,https://i.scdn.co/image/ab67616d0000b2737983e66f1fd1321b3255757f
https://open.spotify.com/track/0Pn6qyvt28QTf69QcM4F5U?si=db0c34e877964b23,0Pn6qyvt28QTf69QcM4F5U,ferrari,Jessica Baio,https://i.scdn.co/image/ab67616d0000b273770b6b80981e2b4f59d68867
https://open.spotify.com/track/4LQXPQv0sIMTwp6GleU45h?si=472125830db64103,4LQXPQv0sIMTwp6GleU45h,West of London,The Collarbones,https://i.scdn.co/image/ab67616d0000b27381b1ed74fdb8c1888741bb9d
https://open.spotify.com/track/1kO8TSZU0ORR4eJpirLPGW?si=76c4a579a7f9446c,1kO8TSZU0ORR4eJpirLPGW,DEPRESSED,Anne-Marie,https://i.scdn.co/image/ab67616d0000b27347cf97931fa297e62e5766d1
https://open.spotify.com/track/2N970NvTMrHQ1iqN4Aot8k?si=f2cf979c10a9418a,2N970NvTMrHQ1iqN4Aot8k,Friends Don't,Alexander Stewart,https://i.scdn.co/image/ab67616d0000b27334b2496af83d44548355eb3f
https://open.spotify.com/track/1Xk4qOVBo2N4lA8RWJabjM?si=ea6c4215f7a9416f,1Xk4qOVBo2N4lA8RWJabjM,Symmetry,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27333a7966fa1f664e6657fdc5f
https://open.spotify.com/track/6Wobsw9uZ0D0xkfOjxXSq9?si=dce0c90b29254010,6Wobsw9uZ0D0xkfOjxXSq9,Messy (From F1® The Movie),ROSÉ,https://i.scdn.co/image/ab67616d0000b273a2fdb9ac062ea27dda5846d5
https://open.spotify.com/track/3c3M22dFOH2O7FS54bbGhh?si=3e2ac78ca2014cee,3c3M22dFOH2O7FS54bbGhh,More,Carly Rae Jepsen,https://i.scdn.co/image/ab67616d0000b273bcfcf81e7e58a3d60ccadb96
https://open.spotify.com/track/3eVMudOa0GMYS9fBp4qgKD?si=6163424b5fc84169,3eVMudOa0GMYS9fBp4qgKD,Sticks & Stones,Lauren Spencer Smith,https://i.scdn.co/image/ab67616d0000b2735112710b80dbb2778c4051b9
https://open.spotify.com/track/0zbnSb9ifMWivpl5pfHH70?si=c20beaf4903b4ced,0zbnSb9ifMWivpl5pfHH70,FOUND,Matt Hansen,https://i.scdn.co/image/ab67616d0000b2736cc2073c8aaa88ac51311355
https://open.spotify.com/track/2N6md2JtrNake4sJ14KJ72?si=3067043f6ce54d2c,2N6md2JtrNake4sJ14KJ72,Shy,Reneé Rapp,https://i.scdn.co/image/ab67616d0000b2731f22a0d14fbba8dd80b186a4
https://open.spotify.com/track/1zOXs9kBDCGVYZXbxCR3eu?si=f377a1151b814997,1zOXs9kBDCGVYZXbxCR3eu,Clockwork,Laufey,https://i.scdn.co/image/ab67616d0000b2738f68f6e65c1cfd36bb21561c
https://open.spotify.com/track/7dTVx630q32E7NBBylFnfG?si=68f2b176669947bd,7dTVx630q32E7NBBylFnfG,Cosmic,Celine Wanyi,https://i.scdn.co/image/ab67616d0000b2733905a6a454b8d6385df2780b
https://open.spotify.com/track/32ceYOi2NqPOo2ZHAbTHh6?si=8701572be1614180,32ceYOi2NqPOo2ZHAbTHh6,Nothing Like You,Stacey Ryan,https://i.scdn.co/image/ab67616d0000b273b3d7f238693b6b2118df7e42
https://open.spotify.com/track/5DxDLsW6PsLz5gkwC7Mk5S?si=f4c7d1a93e044534,5DxDLsW6PsLz5gkwC7Mk5S,Free,Rumi,https://i.scdn.co/image/ab67616d0000b2734dcb6c5df15cf74596ab25a4
https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS?si=c2b8ad0519da47ee,1CPZ5BxNNd0n0nF4Orb9JS,Golden,HUNTR/X,https://i.scdn.co/image/ab67616d0000b2734dcb6c5df15cf74596ab25a4
https://open.spotify.com/track/5vXPLxljVKyHDHuv3kIuKV?si=c138289bc75b428c,5vXPLxljVKyHDHuv3kIuKV,Survive,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273e6c69a4c4a69e0cdd5105f8e
